OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
2887;8_12220;12220;AV.PEÑASCALES-TANATORIO;152;28250;1;B3;422132;4492045;4
2888;8_11772;11772;BERLÍN-EST.ALCORCÓN CENTRAL;7;28922;1;B1;429427;4467209;1, 2, 3
2889;8_11773;11773;BERLÍN-EST.ALCORCÓN CENTRAL;7;28922;1;B1;429473;4467220;1, 2, 3
2890;8_16368;16368;AV.BLANCA FDEZ.OCHOA-POLIDEPORTIVO;38;28470;1;C2;411553;4510738;1
2891;8_11297;11297;RONDA SUR-JARDINES LA PERLITA;14;28500;1;B3;462335;4460896;2
2892;8_18569;18569;ALICANTE-AV.MEDITERRÁNEO;15;28939;1;B3;423396;4457835;1
2893;8_12186;12186;AV.INFANTE DON LUIS-FEDERICO Gª LORCA;22;28660;1;B2;424055;4473468;1
2894;8_15236;15236;PINAR-CESÁREO PONTÓN;131;28200;2;C1;402817;4494690;4
2895;8_06741;6741;RONDA DE LA CONSTITUCIÓN-ALCALÁ;9;28110;1;B3;458074;4494175;L-1
2896;8_12866;12866;COMUNIDAD DE MADRID-HIGUERAL;58;28944;4;B2;432249;4459043;2, 4
2897;8_12871;12871;FUENTEVAQUEROS-HONTANAR;58;28944;4;B2;432679;4458865;4
2898;8_12898;12898;JOSÉ ORTEGA Y GASSET-J.RAMÓN JIMÉNEZ;5;28805;6;B3;470136;4484625;3
2899;8_18481;18481;CEBADILLAS-CAÑADA NUEVA;131;28200;2;C1;402979;4494691;4
2900;8_18556;18556;LEPANTO-RESIDENCIA;131;28200;2;C1;403148;4494748;4
2901;8_12189;12189;AV.INFANTE DON LUIS-MENÉNDEZ PIDAL;22;28660;1;B2;424209;4473882;1
2902;8_12296;12296;CTRA.MAJADAHONDA-EST.BOADILLA CENTRO;22;28660;1;B2;425437;4473543;1, 2, 3
2903;8_08512;8512;AV.LEGANÉS-PARQUE DE MONFRAGÜE;7;28924;2;B1;431001;4466681;1
2904;8_15066;15066;CTRA.MAJADAHONDA-AV.ADOLFO SUÁREZ;22;28660;1;B2;425614;4473282;1, 2, 3
2905;8_11712;11712;GETAFE SECTOR 3-ESTACIÓN;65;28906;1;B1;437412;4460225;1, 5
2906;8_08325;8325;AV.ARAGÓN-EXTREMADURA;65;28903;4;B1;439320;4462929;1
2907;8_08324;8324;AV.ARAGÓN-BADAJOZ;65;28903;4;B1;439058;4462777;1
2908;8_16413;16413;PºREPÚBLICA DOMINICANA-GALÁPAGOS;106;28983;1;B2;435791;4454073;3
2909;8_16411;16411;PºREPÚBLICA DOMINICANA-AV.AMÉRICA;106;28980;1;B2;435514;4454153;3
2910;8_16759;16759;CAP.ANGOSTO G.CASTRILLÓN-PLAZA DE TOROS;13;28300;3;C1;448667;4431199;3
2911;8_11181;11181;C.C.PARQUE CORREDOR;148;28850;4;B2;459454;4480705;4
2912;8_11182;11182;C.C.PARQUE CORREDOR;148;28850;4;B2;459439;4480691;4
2913;8_18570;18570;ALICANTE-AV.MEDITERRÁNEO;15;28939;1;B3;423409;4457859;1
2914;8_18568;18568;AV.MEDITERRÁNEO-VALENCIA;15;28939;1;B3;423163;4457552;1
2915;8_18573;18573;ALICANTE-VALENCIA;15;28939;1;B3;422988;4458356;1
2916;8_18577;18577;AV.MECO-GTA.PRESIDENTE LÁZARO CÁRDENAS;5;28805;6;B3;470115;4483241;2, 3
2917;8_18578;18578;AV.MECO-GTA.PRESIDENTE LÁZARO CÁRDENAS;5;28805;4;B3;470097;4483240;2, 3
2918;8_08950;8950;CONSTITUCIÓN-FELIX SERRANO DEL REAL;96;28600;1;B3;414568;4460337;1
2919;8_17981;17981;RONDA SUR-COLEGIO;14;28500;1;B3;461710;4461013;2, 4
2920;8_17982;17982;RONDA SUR-COLEGIO;14;28500;1;B3;461704;4460994;2
2921;8_17588;17588;ICÍAR BOLLAÍN-AV.RONDA;106;28980;1;B2;433680;4453633;1
2922;8_11238;11238;SANTA MARÍA-SANTA ISABEL;127;28231;1;B2;426696;4483239;2
2923;8_07692;7692;GALICIA-EL NARANJO;58;28942;6;B2;431238;4461600;1, 2, 3, 13
2924;8_07707;7707;AVILES-CENTRO SALUD;58;28942;6;B2;431367;4461015;3
2925;8_07007;7007;VALLADOLID-C.C.EL VAL;5;28804;5;B3;470594;4481876;6, 8
2926;8_17081;17081;OCTAVIO PAZ-PABLO NERUDA;5;28806;4;B3;469458;4483971;7
2927;8_07036;7036;AV.JUAN DE AUSTRIA-AV.LOPE DE FIGUEROA;5;28804;5;B3;470323;4482092;8
2928;8_07057;7057;CHILE-BOLIVIA;5;28806;8;B3;466576;4484184;9
2929;8_07056;7056;CHILE-POL.IND.AZQUE;5;28806;8;B3;466404;4483985;9
2930;8_07059;7059;PERÚ-POL.IND.AZQUE;5;28806;8;B3;466209;4484291;9
2931;8_10181;10181;CTRA.M505-EMBALSE VALMAYOR;54;28280;1;C1;411094;4492568;3
2932;8_17972;17972;AV.COMUNIDAD MADRID-EST.BERNA;115;28224;2;B1;433034;4477507;2
2933;8_09496;9496;SAN JOSÉ OBRERO-JÚPITER;115;28224;2;B1;432766;4477446;2
2934;8_06496;6496;FRANCISCO BELEÑA-SAN JOSÉ OBRERO;115;28224;2;B1;432621;4477501;2
2935;8_11935;11935;PZA.PUERTA DE MÁRTIRES-TENIENTE RUÍZ;5;28805;1;B3;469510;4481867;6, 7, 10
