OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
4084;6_6077;20190912;6077;AV.DEL PARQUE-TRANSFORMADOR;5683;79;28052;19;A;450525;4472326;T23
4085;6_173;20190912;173;ALBERICIA-AV.GUADALAJARA;1209;79;28037;20;A;448136;4475056;153
4086;6_1732;20190912;1732;SANTA PRISCA;4369;79;28017;15;A;445045;4475553;15
4087;6_1736;20190912;1736;CTRA.VICALVARO-VALLECAS-JESUS DEL PINO;4683;79;28031;13;A;446948;4470714;54, 58, 103, 142, 143
4088;6_1746;20190912;1746;AV.ALBUFERA-SIERRA DEL CADI;1006;79;28038;13;A;444036;4471898;54, 58, 136, N10, N25
4089;6_1748;20190912;1748;MOGAMBO-LA VIOLETERA;2579;79;28018;13;A;444469;4470318;57, 144
4090;6_1753;20190912;1753;Pº STA.Mª CABEZA-ZUJAR;2540;79;28019;11;A;439397;4471248;55, 60, N17
4091;6_1767;20190912;1767;AV.OPORTO-Cº VIEJO LEGANES;2471;79;28025;11;A;438366;4471066;55, 81, 108, 247, N17
4092;6_178;20190912;178;HNOS.GARCIA NOBLEJAS-AV.ARCENTALES;252;79;28037;20;A;446862;4475204;4, 38, 48, N6
4093;6_3759;20190912;3759;VENTISQUERO CONDESA-COLLADO MARICHIVA;4740;79;28035;8;A;439399;4482598;49
4094;6_3768;20190912;3768;AV.MARUJA MALLO-Cº DE MONTORO;4786;79;28050;16;A;446642;4481436;87
4095;6_3778;20190912;3778;INDALECIO PRIETO-COPERNICO;5031;79;28032;19;A;447192;4472062;8, 71
4096;6_3783;20190912;3783;AV.ROSALES-RUTILO;4867;79;28041;12;A;441685;4468783;23, N12
4097;6_3790;20190912;3790;DR.GARCIA TAPIA-RABAT;4758;79;28030;14;A;446818;4473338;30, 100
4098;6_3792;20190912;3792;DR.GARCIA TAPIA-FTE.CARRANTONA;4756;79;28030;14;A;446610;4473400;30
4099;6_3798;20190912;3798;AFUERAS A VALVERDE-SOTO DEL REAL;2679;79;28034;8;A;441676;4483406;66, 137, N24, SE704
4100;6_3823;20190912;3823;RIBERA DEL LOIRA-AV.PARTENON;4892;79;28043;21;A;447375;4479569;104
4101;6_383;20190912;383;AV.MORATALAZ-PZA.CORR.ALONSO AGUILAR;5473;79;28030;14;A;444341;4473332;8, 20
4102;6_3845;20190912;3845;ERMITA VIRGEN DE LA SOLEDAD-ARIADNA;4923;79;28042;21;A;450786;4479997;112
4103;6_3859;20190912;3859;SIMCA-HORIZON;5010;79;28041;12;A;439967;4468868;60
4104;6_3865;20190912;3865;CERRO NEGRO-CALIFORNIA;4975;79;28007;3;A;443097;4472181;113, 148
4105;6_388;20190912;388;AV.PEÑA PRIETA-MENDIVIL;1981;79;28038;13;A;443540;4472613;8, 113, 141
4106;6_3892;20190912;3892;CAMPO NACIONES-GTA.J.DE BORBON;5102;79;28042;21;A;447863;4479240;104
4107;6_1090;20190912;1090;AGUSTIN DE FOXA-JOSE VASCONCELOS;1915;79;28036;5;A;442005;4480369;5
4108;6_1098;20190912;1098;JULIA GARCIA BOUTAN-NIZA;4443;79;28022;20;A;448656;4475873;38, N6
4109;6_3150;20190912;3150;FUENCARRAL-ALBURQUERQUE;3376;79;28010;7;A;440457;4476084;149
4110;6_3163;20190912;3163;FUENCARRAL-GTA.QUEVEDO;3379;79;28010;7;A;440389;4476261;3, 37, 149, N23
4111;6_3170;20190912;3170;RAFAEL SALGADO-Pº CASTELLANA;4709;79;28046;5;A;441619;4478593;150
4112;6_3176;20190912;3176;FRAY B.SAHAGUN-MENENDEZ PIDAL;108;79;28036;5;A;442268;4479351;150
4113;6_3182;20190912;3182;PADRE DAMIAN-PEDRO MUGURUZA;103;79;28036;5;A;441999;4479398;150
4114;6_3183;20190912;3183;PADRE DAMIAN-ALBERTO ALCOCER;101;79;28036;5;A;441978;4479187;150
4115;6_738;20190912;738;OCAÑA,100;571;79;28047;10;A;436161;4470985;17, N26
