OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1180;6_461;20190912;461;Pº PRADO-ATOCHA;81;79;28014;1;A;441342;4473687;10, 14, 27, 34, 37, 45, E1, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9
1181;6_464;20190912;464;Pº REINA CRISTINA-ANDRES TORREJON;2048;79;28014;3;A;442288;4473358;10, 14, 26, 32, C2, N9
1182;6_465;20190912;465;CAVANILLES-PZA.MARIANO CAVIA;2050;79;28007;3;A;442580;4473342;10
1183;6_466;20190912;466;CAVANILLES-ABTAO;2052;79;28007;3;A;442791;4473213;10
1184;6_467;20190912;467;DR.ESQUERDO-CAVANILLES;1435;79;28007;3;A;443043;4473028;10, 56, 156
1185;6_470;20190912;470;MONTE IGUELDO-MARIA BOSCH;2059;79;28053;13;A;443421;4472232;10, 24, 111, 310
1186;6_471;20190912;471;AV.OROVILLA-AV.FELICIDAD;4869;79;28041;17;A;441563;4468012;25
1187;6_472;20190912;472;ARROYO OLIVAR-MONTE PERDIDO;4861;79;28053;13;A;443919;4471697;10
1188;6_473;20190912;473;ARROYO OLIVAR-C.MARTIN ALVAREZ;2064;79;28018;13;A;444018;4471630;10
1189;6_352;20190912;352;AV.SENECA-TRV. ANTONIO NEBRIJA;4306;79;28040;9;A;438396;4476597;U
1190;6_353;20190912;353;RAMIREZ DE PRADO-VARA DE REY;1966;79;28045;2;A;441672;4472514;8
1191;6_354;20190912;354;MENDEZ ALVARO-MENESES;1967;79;28045;2;A;442143;4472351;8, 102, 152, N11, N13
1192;6_357;20190912;357;AV.CDAD.BARCELONA-LUIS MITJANS;1410;79;28007;3;A;443063;4472556;8, 10, 24, 37, 54, 56, 57, 136, 141, 310
1193;6_359;20190912;359;AV.PEÑA PRIETA-FRANCISCO IGLESIAS;1980;79;28038;13;A;443496;4472551;8, 113, 141
1194;6_362;20190912;362;SIERRA TOLEDANA-PATIO SANTIAGO;1986;79;28038;13;A;444140;4473018;8, 113
1195;6_363;20190912;363;AV.MORATALAZ-PZA.CORR.ALONSO AGUILAR;5472;79;28030;14;A;444339;4473305;8, 20
1196;6_1048;20190912;1048;Pº CASTELLANA-PZA.DE LIMA;44;79;28046;5;A;441571;4478489;27, 40, 126, 147, 150
1197;6_1052;20190912;1052;Pº CASTELLANA-RAFAEL SALGADO;38;79;28046;6;A;441540;4478624;27, 40, 126, 147
1198;6_1053;20190912;1053;PZA.EMPERADOR CARLOS V;83;79;28012;1;A;441271;4473458;27, 34, C1, N12, N15, N17
1199;6_1054;20190912;1054;RONDA DE ATOCHA;84;79;28012;1;A;440813;4473282;27, 34, 36, 41, 119, C1, N12, N15, N17
1200;6_1055;20190912;1055;PUERTA DE ALCALA;163;79;28001;4;A;441716;4474854;28
1201;6_1058;20190912;1058;CENTRO DE CARGA AEREA 4;4380;79;28042;21;A;451293;4478294;114
1202;6_1060;20190912;1060;JOSE LUIS ARRESE-Mª TERESA SAENZ HEREDIA;956;79;28017;15;A;444536;4474996;71
1203;6_1063;20190912;1063;VILLUERCAS-BARROS;2936;79;28053;13;A;443576;4469817;102
1204;6_1065;20190912;1065;ALIANZA-UNANIMIDAD;3199;79;28041;17;A;441883;4467902;23, 123
1205;6_1066;20190912;1066;FCO.VILLAESPESA-EZEQUIEL SOLANA;970;79;28017;15;A;445525;4475815;28, N6
1206;6_1067;20190912;1067;ANTONIA RGUEZ.SACRISTAN-CENTRO DE SALUD;2459;79;28044;11;A;436652;4469641;47, 121, 131
1207;6_1071;20190912;1071;EMILIO MUÑOZ-MIGUEL YUSTE;984;79;28037;20;A;447253;4476337;28
1208;6_1072;20190912;1072;CRONOS-SAN ROMUALDO;986;79;28037;20;A;447513;4476673;28, 153
1209;6_1073;20190912;1073;PZA.CRONOS;988;79;28037;20;A;447661;4476990;28, 153
1210;6_1076;20190912;1076;LUCANO-AQUILES;994;79;28022;20;A;448244;4476910;140, N5
1211;6_1080;20190912;1080;CANAL DE BOSFORO-ESFINGE;3943;79;28022;20;A;448429;4477106;28
1212;6_1081;20190912;1081;SAN MARIANO-NECTAR;993;79;28022;20;A;448207;4477204;28, 48, N5
1213;6_1082;20190912;1082;NECTAR-AV.CANILLEJAS;991;79;28022;20;A;447929;4477120;28, N5
1214;6_1083;20190912;1083;PZA.CRONOS;989;79;28037;20;A;447609;4476955;28, 153
1215;6_1084;20190912;1084;CRONOS-SAN ROMUALDO;987;79;28037;20;A;447489;4476660;28, 153
1216;6_1089;20190912;1089;PAYASO FOFO-SIERRA BERMEJA;1107;79;28018;13;A;444076;4471503;103
1217;6_1091;20190912;1091;PAYASO FOFO-AV.ALBUFERA;1109;79;28018;13;A;444148;4471699;103
1218;6_582;20190912;582;Pº CASTELLANA-MARIA DE MOLINA;794;79;28046;5;A;441565;4476851;12, 45
1219;6_848;20190912;848;ALCALA-CEDACEROS;2002;79;28014;1;A;440903;4474617;5, 9, 15, 20, 51, 52, 53, 150, N16, N26
1220;6_850;20190912;850;ROBERTO DOMINGO-AV.DONOSTIARRA;1235;79;28028;4;A;444026;4476453;21
1221;6_853;20190912;853;ALCALA-HERMOSILLA;681;79;28006;4;A;443016;4475478;21, 43, 53, 146, N5, N7
1222;6_856;20190912;856;GOYA-PRINCIPE VERGARA;675;79;28001;4;A;442378;4475374;21, 53
1223;6_858;20190912;858;GOYA-SERRANO;671;79;28001;4;A;441680;4475432;21, 53
1224;6_27;20190912;27;ISAAC PERAL-FERNANDEZ DE LOS RIOS;4022;79;28015;9;A;439182;4476584;1, 44, 62, 82, 132, 138, C2, N21
1225;6_455;20190912;455;SERRANO-MARQUES VILLAMAGNA;449;79;28001;4;A;441817;4475871;1, 9, 19, 51, 74, N4
1226;6_1367;20190912;1367;AVDA. AVIACION;647;79;28044;10;A;433563;4470253;39, 139, N19
1227;6_1370;20190912;1370;Pº EXTREMADURA Nº 445;899;79;28024;10;A;433954;4471291;39, N19
1228;6_1374;20190912;1374;LUCHANA-FRANCISCO DE ROJAS;3555;79;28010;7;A;440769;4476016;37, 40, 147
1229;6_1297;20190912;1297;SEBASTIAN ALVARO;2324;79;28024;10;A;434535;4471940;36
1230;6_1301;20190912;1301;Pº EXTREMADURA-SAN MANUEL;889;79;28011;10;A;435669;4472873;36, 39, N19
1231;6_1305;20190912;1305;JUAN DUQUE-MORENO NIETO;2320;79;28005;2;A;439058;4473930;36, 50
1232;6_1310;20190912;1310;Pº IMPERIAL-GTA.PIRAMIDES;2311;79;28005;2;A;439434;4472768;36, 62
1233;6_1226;20190912;1226;JOAQUIN TURINA-POLVORANCA;355;79;28044;11;A;436049;4469523;34
1234;6_1231;20190912;1231;OLIVA DE PLASENCIA-GRAL.R.BASART;367;79;28044;10;A;434314;4470344;34
1235;6_1236;20190912;1236;AV.GRAL.FANJUL -EST.RENFE AGUILAS;372;79;28044;10;A;433822;4470587;17, 34
1236;6_1160;20190912;1160;PZA.ACHICORIA;2260;79;28047;10;A;436885;4472892;31
1237;6_1168;20190912;1168;SEGOVIA-VIRGEN DEL PUERTO;2254;79;28005;2;A;439041;4474150;31, 50, 65
1238;6_1172;20190912;1172;DR.ESQUERDO-PZA.CONDE CASAL;1434;79;28007;3;A;443260;4473377;32, 56, 143, 156
1239;6_1182;20190912;1182;VALDEBERNARDO-HACIENDA PAVONES;2294;79;28030;14;A;446459;4472569;32
1240;6_1095;20190912;1095;JOSE LUIS ARRESE-Mª TERESA SAENZ HEREDIA;957;79;28017;15;A;444519;4474987;71
1241;6_1103;20190912;1103;PRINCIPE DE VERGARA-AYALA;2229;79;28001;4;A;442447;4475653;29, 52, N2
1242;6_405;20190912;405;VELAZQUEZ-DIEGO DE LEON;428;79;28006;4;A;442161;4476414;9, 19, 51, N4
1243;6_408;20190912;408;LOPEZ DE HOYOS-FCO.SILVELA;2007;79;28006;5;A;442357;4477035;9
1244;6_414;20190912;414;FDEZ.DE LOS RIOS-VALLEHERMOSO;522;79;28015;7;A;439975;4476498;16, 61
1245;6_417;20190912;417;AV.RAMON Y CAJAL-AV.LA PAZ;408;79;28043;15;A;444058;4478517;9, 72, 73, 120, N2
1246;6_418;20190912;418;LOPEZ DE HOYOS-CAÑAS;2024;79;28043;15;A;444078;4478871;9, 53, 72, 73, N2
1247;6_1201;20190912;1201;Pº DE LA VENTA-PARQUE DE ATRACCIONES;2303;79;28011;9;A;436246;4473608;33
1248;6_2863;20190912;2863;ANTONIO MACHADO-VALDERRODRIGO;1657;79;28035;9;A;439118;4480402;127, 132, N21
1249;6_2974;20190912;2974;CESAR MANRIQUE-LA CABRERA;1515;79;28035;8;A;439041;4480646;42, 127, 132, N21
1250;6_3405;20190912;3405;VENTISQUERO CONDESA-C.HERRERA ORIA;1596;79;28035;8;A;439512;4481862;64, N21
1251;6_4024;20190912;4024;CERRO MINGUETE-VENTISQUERO DE LA CONDESA;1564;79;28035;8;A;439292;4482256;N21
1252;6_1649;20190912;1649;RAMON GOMEZ SERNA-JULIO CALVO;1552;79;28035;8;A;438869;4481763;49
1253;6_435;20190912;435;LOPEZ DE HOYOS-BIOSCA;2036;79;28043;16;A;444883;4480342;9, 72, N2
1254;6_437;20190912;437;LOPEZ DE HOYOS-GTA.LUIS ROSALES;3928;79;28043;16;A;444607;4479952;9, 72
1255;6_341;20190912;341;JOAQUIN COSTA-N.MINISTERIOS;422;79;28002;5;A;441573;4477730;7, C2
1256;6_342;20190912;342;Pº CASTELLANA-NUEVOS MINISTERIOS;51;79;28046;7;A;441448;4477459;7, 14, 27, 40, 147, 150, N22, N24
1257;6_348;20190912;348;ALMAGRO Nº 3;518;79;28010;7;A;441144;4475738;7
1258;6_5462;20190912;5462;AVDA.LOS ROSALES-ORO;3753;79;28021;17;A;442605;4467102;85, 123
1259;6_5463;20190912;5463;AV.ROSALES-MATACHEL;3752;79;28021;17;A;442381;4467459;85, 123, N12
1260;6_1204;20190912;1204;Pº EXTREMADURA-CARLINA;2306;79;28011;10;A;436359;4473183;33, 65
1261;6_1207;20190912;1207;RONDA DE VALENCIA;320;79;28012;1;A;440580;4473200;34, 36, 41, 119, C1, N12, N15
1262;6_1209;20190912;1209;Pº ACACIAS-RIBERA DE CURTIDORES;324;79;28005;2;A;440125;4473034;34, 36, 62, 116, 118, 119
1263;6_1210;20190912;1210;Pº ACACIAS-Pº OLMOS;326;79;28005;2;A;439870;4472944;34, 36, 62, 116, 118, 119, N12, N15
1264;6_1212;20190912;1212;GRAL.RICARDOS-GTA.MQUES.VADILLO;329;79;28019;11;A;439246;4472290;34, 35, 118, 119, N26
1265;6_664;20190912;664;SAINZ DE BARANDA-JUAN ESPLANDIU;2167;79;28007;3;A;443610;4474615;15
1266;6_666;20190912;666;SAINZ DE BARANDA-NARVAEZ;2159;79;28009;3;A;442777;4474471;15, 215
1267;6_668;20190912;668;NARVAEZ;2155;79;28009;3;A;442772;4474923;15, 26, 61, 63, 215, C2
1268;6_670;20190912;670;ALCALA-PRINCIPE DE VERGARA;778;79;28001;4;A;442464;4475158;15, 146, 152
1269;6_671;20190912;671;ALCALA-CASTELLO;752;79;28001;4;A;442306;4475068;15, 52, 146, N2, N3, N5, N7
1270;6_674;20190912;674;FDEZ.DE LOS RIOS-GUZMAN EL BUENO;521;79;28015;7;A;439592;4476524;16, 61
1271;6_675;20190912;675;FDEZ.DE LOS RIOS-MAGALLANES;523;79;28015;7;A;440331;4476472;16, 61
1272;6_677;20190912;677;ELOY GONZALO-JUAN DE AUSTRIA;525;79;28010;7;A;440762;4476440;16, 61
1273;6_678;20190912;678;SANTA PRISCA;4370;79;28017;15;A;445043;4475574;15
1274;6_686;20190912;686;AV.PIO XII-CENTRO COMERCIAL;115;79;28016;5;A;442793;4479504;16, 29, 150, N1
1275;6_687;20190912;687;AV.PIO XII-COMANDANTE FRANCO;117;79;28016;5;A;442851;4479834;16, 29, 150, N1
1276;6_690;20190912;690;AV.PIO XII-NUNCIATURA;118;79;28016;5;A;443004;4480204;16, 150
1277;6_692;20190912;692;AV.PIO XII-CENTRO COMERCIAL;114;79;28016;5;A;442774;4479514;16, 29, 150, N1
1278;6_695;20190912;695;AV.DR.ARCE-PZA.SANTA GEMA;417;79;28002;5;A;442374;4477846;16, 19
1279;6_704;20190912;704;FERNANDO EL CATOLICO-MAGALLANES;540;79;28015;7;A;440227;4476354;16, 61
1280;6_705;20190912;705;FERNANDO EL CATOLICO-VALLEHERMOSO;541;79;28015;7;A;439969;4476381;16, 61
1281;6_574;20190912;574;MQUES.DE ZAFRA-MQUES.MONDEJAR;781;79;28028;4;A;443519;4475532;12
1282;6_575;20190912;575;FCO.SILVELA-PZA.M.BECERRA;782;79;28028;4;A;443301;4475846;12, 43, 56, 210, C2
1283;6_576;20190912;576;FCO.SILVELA-AZCONA;784;79;28028;4;A;443086;4476187;12, 56, 210, C2
1284;6_5426;20190912;5426;EDUARDO BARREIROS-AV.POBLADOS;3727;79;28041;12;A;441015;4469317;76
1285;6_478;20190912;478;AV.PALOMERAS-PUERTO DEL PICO;4540;79;28018;13;A;445032;4470988;10
1286;6_480;20190912;480;EXTREMEÑOS-AV.PABLO NERUDA;2077;79;28018;13;A;445267;4470943;10, N10
1287;6_481;20190912;481;EXTREMEÑOS-AV.RAFAEL ALBERTI;2079;79;28018;13;A;445513;4470803;10
1288;6_482;20190912;482;RAFAEL ALBERTI-ARAGONESES;2081;79;28018;13;A;445362;4470654;10, 144
1289;6_486;20190912;486;VILLALOBOS-LEONESES;2084;79;28018;13;A;445269;4470602;10, 144
1290;6_487;20190912;487;RAFAEL ALBERTI-ARAGONESES;2082;79;28018;13;A;445404;4470643;10, 144, N10
1291;6_491;20190912;491;AV.PALOMERAS-PUERTO DEL PICO;2074;79;28018;13;A;445032;4471001;10
1292;6_492;20190912;492;AV.PALOMERAS-PEDRO LABORDE;2073;79;28018;13;A;444885;4471063;10
1293;6_494;20190912;494;ARROYO OLIVAR-JESUS JIMENEZ;2069;79;28018;13;A;444588;4471297;10
1294;6_495;20190912;495;ARROYO OLIVAR-TTE.MUÑOZ DIAZ;2067;79;28018;13;A;444300;4471509;10
1295;6_500;20190912;500;AV.CDAD.BARCELONA-M30;2057;79;28007;3;A;443192;4472489;8, 24, 54, 57, 141
1296;6_501;20190912;501;AV.CDAD.BARCELONA-PACIFICO;1978;79;28007;3;A;442883;4472706;8, 10, 136, 310
1297;6_502;20190912;502;CAVANILLES-DR.ESQUERDO;2055;79;28007;3;A;443043;4473075;10
1298;6_504;20190912;504;CAVANILLES-PZA.MARIANO CAVIA;2051;79;28007;3;A;442565;4473371;10
1299;6_377;20190912;377;ENCOMIENDA PALACIOS-PICO ARTILLEROS;850;79;28030;14;A;445567;4472636;8, 20, N8
1300;6_378;20190912;378;ENCOMIENDA DE PALACIOS-ARROYO FONTARRON;844;79;28030;14;A;445234;4472632;8, 20
1301;6_380;20190912;380;ARROYO FONTARRON-CORR.J.FCO.LUJAN;1991;79;28030;14;A;444947;4472844;8
1302;6_381;20190912;381;ARROYO FONTARRON-PZA.ENCUENTRO;1989;79;28030;14;A;444831;4473144;8
1303;6_384;20190912;384;PZA.CORR.ALONSO AGUILAR;1988;79;28030;14;A;444198;4473352;8, 113
1304;6_385;20190912;385;SIERRA ELVIRA-SIERRA TOLEDANA;1987;79;28038;13;A;444137;4473116;8, 113
1305;6_386;20190912;386;SIERRA ELVIRA-JULIAN DEL CERRO;4596;79;28038;13;A;443858;4473095;8, 113
1306;6_387;20190912;387;AV.PEÑA PRIETA-PILAR RUEDA;1983;79;28038;13;A;443759;4472862;8, 113
1307;6_392;20190912;392;MENDEZ ALVARO-PEDRO BOSCH;1970;79;28045;2;A;442334;4472172;8, 102, 152, N11, N13
1308;6_394;20190912;394;MENDEZ ALVARO-COMERCIO;1971;79;28045;2;A;442012;4472557;8, 102, 152, N11, N13
1309;6_396;20190912;396;ANCORA-MENDEZ ALVARO;1973;79;28045;2;A;441666;4472905;8, 102
1310;6_397;20190912;397;PALOS DE LA FRONTERA-Pº STA.Mª CABEZA;3593;79;28045;2;A;441016;4472958;55
1311;6_1106;20190912;1106;PRINCIPE DE VERGARA-MARIA DE MOLINA;2235;79;28006;5;A;442526;4476790;N2
1312;6_1998;20190912;1998;ISLA DE AROSA-ISLAS CIES;1358;79;28035;8;A;439337;4481676;83, 133, N21
1313;6_364;20190912;364;AV.MORATALAZ-PARQUE DARWIN;834;79;28030;14;A;444522;4473238;8, 20
1314;6_367;20190912;367;ARROYO FONTARRON-E.PALACIOS;1992;79;28030;14;A;445098;4472646;8
1315;6_368;20190912;368;ENCOMIENDA PALACIOS-A.FONTARRON;1994;79;28030;14;A;445212;4472609;8
1316;6_369;20190912;369;ENCOMIENDA PALACIOS-PICO ARTILLEROS;1995;79;28030;14;A;445556;4472627;8, N8
1317;6_371;20190912;371;ENCOMIENDA PALACIOS-FTE.CARRANTONA;1997;79;28030;14;A;445991;4472349;8, 20
1318;6_373;20190912;373;VALDEBERNARDO-HACIENDA PAVONES;2001;79;28030;14;A;446443;4472511;8, 20
1319;6_374;20190912;374;ENCOMIENDA PALACIOS-VALDEBERNARDO;2000;79;28030;14;A;446253;4472249;8, 20
1320;6_339;20190912;339;SERRANO-GUADIANA;442;79;28002;5;A;442117;4477899;7, 51, N1
1321;6_6151;20190912;6151;PRINCIPE DE VERGARA-MARIA DE MOLINA;5787;79;28006;4;A;442520;4476709;29, 52
1322;6_264;20190912;264;GUETARIA-TOLOSA;1962;79;28041;12;A;439369;4469614;6, 60
1323;6_265;20190912;265;AV.POBLADOS-AV.RAFAELA YBARRA;1963;79;28041;12;A;439555;4469661;6, 60, 116, 121, 131
1324;6_259;20190912;259;AV.RAFAELA YBARRA-CESTONA;1957;79;28041;12;A;439624;4469504;6, 60, 78, 81, 116, 131, N15
1325;6_2810;20190912;2810;AV.POBLADOS-Cº VIEJO VILLAVERDE;3175;79;28041;12;A;439822;4469569;121
1326;6_5406;20190912;5406;LEIZA-AV.RAFAELA YBARRA;3075;79;28041;12;A;439580;4469373;60
1327;6_2813;20190912;2813;AV.POBLADOS-Cº VIEJO VILLAVERDE;3174;79;28026;12;A;439824;4469592;121
1328;6_488;20190912;488;EXTREMEÑOS-AV.RAFAEL ALBERTI;2080;79;28018;13;A;445516;4470823;10
1329;6_493;20190912;493;AV.BUENOS AIRES-AV.PALOMERAS;2071;79;28018;13;A;444695;4471148;10, 136
1330;6_420;20190912;420;LOPEZ DE HOYOS-NAVARRO AMANDI;2027;79;28043;16;A;444272;4479451;9, 72, 73
1331;6_424;20190912;424;LOPEZ DE HOYOS-VALDETORRES DEL JARAMA;2037;79;28043;16;A;445082;4480598;9, 72, N2
1332;6_428;20190912;428;MAR DE LAS ANTILLAS-ABIZANDA;2043;79;28033;16;A;445084;4481214;9
1333;6_50;20190912;50;GRAN VIA HORTALEZA-HARO;2883;79;28043;16;A;444894;4480046;87
1334;6_56;20190912;56;GUZMAN EL BUENO-CEA BERMUDEZ;189;79;28015;7;A;439643;4476905;2
1335;6_60;20190912;60;ALCALA-LAGASCA;174;79;28009;3;A;441945;4474861;2, 20, 28
1336;6_65;20190912;65;DR.ESQUERDO-JORGE JUAN;151;79;28028;4;A;443389;4475092;2, 30, 56, 71, 143, 156
1337;6_125;20190912;125;BAILEN-YESEROS;1878;79;28005;1;A;439550;4473946;3
1338;6_134;20190912;134;STA.ENGRACIA-PZA.ALONSO MARTINEZ;1865;79;28010;7;A;441091;4475743;3, N23
1339;6_138;20190912;138;STA.ENGRACIA-BRETON LOS HERREROS;1397;79;28003;7;A;440692;4476978;3, 37, 149, N23
1340;6_181;20190912;181;HNOS.GARCIA NOBLEJAS-VALDECANILLAS;245;79;28037;20;A;446523;4475831;4, 38, 48, 70, N6
1341;6_199;20190912;199;GRAL.MOSCARDO-BASILICA;1904;79;28020;6;A;441021;4478032;5, 149
1342;6_244;20190912;244;EMBAJADORES-GTA.STA.Mª CABEZA;1928;79;28045;2;A;440794;4472612;6, 59, 78, 85, 148
1343;6_249;20190912;249;MARCELO USERA-GTA. DE CADIZ;1935;79;28026;12;A;440714;4471270;6, 47, 78, 247
1344;6_258;20190912;258;AV.RAFAELA YBARRA-PQUE.DE LA PALOMA;1953;79;28026;12;A;439632;4469908;6, 60, 81, N15
1345;6_268;20190912;268;AV.RAFAELA YBARRA-MARINA VEGA;1950;79;28026;12;A;439723;4470374;6, 60, 81
1346;6_307;20190912;307;COSTA RICA-VICTOR DE LA SERNA;300;79;28016;5;A;443108;4479060;7, 11, 40, 87
1347;6_311;20190912;311;ARTURO SORIA-AÑASTRO;214;79;28033;15;A;443644;4480077;7, 29, 107, N1
1348;6_323;20190912;323;CUEVAS DE ALMANZORA-AV.SAN LUIS;506;79;28033;16;A;443869;4480771;7
1349;6_327;20190912;327;ARTURO SORIA-SERRANO GALVACHE;498;79;28033;15;A;443532;4480480;7, 29, 107, N1
1350;6_332;20190912;332;RAMIREZ DE PRADO-BUSTAMAMTE;1964;79;28045;2;A;441294;4472661;8
1351;6_3499;20190912;3499;Pº LOS OLIVOS-CARAMUEL;4634;79;28011;10;A;438160;4473350;138, N18
1352;6_3502;20190912;3502;SILVANO-JOSE DOMINGO RUS;465;79;28043;16;A;446435;4479498;120
1353;6_3944;20190912;3944;SESEÑA-VALMOJADO;5185;79;28024;10;A;435842;4472344;25
1354;6_3965;20190912;3965;COMERCIO Nº 1;5236;79;28007;3;A;442329;4473029;152
1355;6_3945;20190912;3945;SESEÑA-VALMOJADO;5184;79;28024;10;A;435838;4472357;25
1356;6_3963;20190912;3963;MENENDEZ PELAYO-GRANADA;5234;79;28014;3;A;442387;4473192;152
1357;6_3962;20190912;3962;MENENDEZ PELAYO-CAVANILLES;5232;79;28014;3;A;442472;4473357;152
1358;6_3633;20190912;3633;AMPOSTA-TEJEDORES;4392;79;28037;20;A;447298;4475617;38
1359;6_3952;20190912;3952;Cº CAMPAMENTO-METRO CASA DE CAMPO;5336;79;28011;9;A;435564;4472995;55, 65
1360;6_1216;20190912;1216;GRAL.RICARDOS-CLARISAS;337;79;28019;11;A;438237;4471556;34, 35, 118, N26
1361;6_1824;20190912;1824;CONGOSTO-LA REVOLTOSA;4685;79;28031;18;A;447454;4469876;54
1362;6_1832;20190912;1832;BURJASOT-BENIFERRI;5460;79;28021;17;A;441381;4466494;79
1363;6_1673;20190912;1673;AV.SAN LUIS-AÑASTRO;1840;79;28033;16;A;444258;4480489;107, 125
1364;6_1686;20190912;1686;PRINCIPE VIANA-MIRAVALLES;3478;79;28048;8;A;432293;4480361;162
1365;6_1691;20190912;1691;Pº SAN ILLAN-SAN CANDIDO;3924;79;28019;11;A;438829;4472583;50
1366;6_1606;20190912;1606;CLARA CAMPOAMOR-AVEFRIA;2468;79;28025;11;A;437859;4470773;247
1367;6_1616;20190912;1616;JOSE DEL HIERRO-VIRGEN DEL LLUC;764;79;28027;15;A;444741;4476441;48, 146
1368;6_1629;20190912;1629;AV.CANILLEJAS A VICALVARO-ALIAGA;4497;79;28022;20;A;448148;4476566;48, 140, N5
1369;6_1538;20190912;1538;AV.REINA VICTORIA-AV.PABLO IGLESIAS;1418;79;28003;6;A;440088;4477843;45, 127, C2, F
1370;6_1552;20190912;1552;AVDA. MARTIN FIERRO;2414;79;28040;9;A;438084;4476540;46, 160, 161, N20
1371;6_1556;20190912;1556;AV.DE VALLADOLID Nº 9;2406;79;28008;9;A;438365;4475598;46
1372;6_1491;20190912;1491;AV.RAMON Y CAJAL-PPE.VERGARA;413;79;28016;5;A;442681;4478325;43, 52, 120
1373;6_1430;20190912;1430;RAIMUNDO FDEZ.VILLAVERDE-CTE.ZORITA;2694;79;28020;6;A;440883;4477781;149, C2
1374;6_860;20190912;860;GENOVA-PZA.ALONSO MARTINEZ;1230;79;28010;7;A;441155;4475632;21, N23
1375;6_862;20190912;862;CARRANZA-GTA.BILBAO;1226;79;28004;7;A;440467;4475844;21, 147
1376;6_863;20190912;863;ALBERTO AGUILERA-GTA.R.JIMENEZ;1224;79;28015;7;A;440136;4475915;21
1377;6_866;20190912;866;ALBERTO AGUILERA-ARGUELLES;1220;79;28015;7;A;439407;4476012;21
1378;6_868;20190912;868;Pº PINTOR ROSALES-FCO.J.ALCANTARA;1216;79;28008;9;A;438849;4475854;62, 74
1379;6_869;20190912;869;MQUES.URQUIJO-MARTIN DE LOS HEROS;1217;79;28008;9;A;439160;4475913;21
1380;6_870;20190912;870;ALBERTO AGUILERA-ARGUELLES;1219;79;28015;1;A;439435;4475990;21
1381;6_872;20190912;872;ALBERTO AGUILERA-GTA.R.JIMENEZ;1223;79;28015;1;A;440160;4475888;21
1382;6_875;20190912;875;GENOVA-PZA.ALONSO MARTINEZ;1229;79;28004;1;A;441136;4475627;21, 37, N23
1383;6_877;20190912;877;GOYA-SERRANO;670;79;28001;4;A;441709;4475399;21, 53
1384;6_881;20190912;881;ALCALA-GOYA;5451;79;28009;4;A;442859;4475359;43, 53
1385;6_882;20190912;882;ALCALA-HERMOSILLA;680;79;28009;4;A;443035;4475464;21, 43, 53, 146, N5, N7
1386;6_885;20190912;885;ROBERTO DOMINGO-AV.DONOSTIARRA;1234;79;28028;4;A;444052;4476452;21
1387;6_889;20190912;889;VIRGEN DEL SAGRARIO-JOSE DEL HIERRO;1241;79;28027;15;A;445021;4476607;21
1388;6_898;20190912;898;ALCOCER-VIRGEN DESAMPARADOS;1788;79;28041;17;A;440857;4467051;18, 22, 116, 130
1389;6_901;20190912;901;DR.PEREZ DOMINGUEZ-AV.REAL DE PINTO;1195;79;28021;17;A;440067;4466714;22, 79, 86, 130, 131, N14
1390;6_903;20190912;903;Pº. ALBERTO PALACIOS-ALADIERNA;2179;79;28021;17;A;439718;4466634;22, 79, N14
1391;6_586;20190912;586;RIOS ROSAS-SANTA ENGRACIA;798;79;28003;7;A;440617;4477269;12, 45
1392;6_587;20190912;587;PZA.JUAN ZORRILLA;799;79;28003;7;A;440336;4477277;12
1393;6_588;20190912;588;AV.FILIPINAS-VALLEHERMOSO;800;79;28003;7;A;440006;4477121;12
1394;6_594;20190912;594;CEA BERMUDEZ-VALLEHERMOSO;806;79;28015;7;A;439990;4476900;12
1395;6_596;20190912;596;JOSE ABASCAL-SANTA ENGRACIA;808;79;28010;7;A;440683;4476862;12
1396;6_598;20190912;598;JOSE ABASCAL-Pº CASTELLANA;810;79;28010;7;A;441438;4476806;12
1397;6_606;20190912;606;ALCALA Nº194;686;79;28028;4;A;443727;4475895;12, 21, 53
1398;6_607;20190912;607;PZA. AMERICA ESPAÑOLA;812;79;28028;4;A;443904;4475836;12
1399;6_608;20190912;608;SANCHO DAVILA;813;79;28028;4;A;443955;4475595;12
1400;6_611;20190912;611;AV.MEDITERRANEO-PZA.MARIANO CAVIA;2129;79;28007;3;A;442582;4473423;14, 32, N9
1401;6_612;20190912;612;Pº PRADO-ATOCHA;82;79;28014;3;A;441381;4473702;10, 14, 27, 34, 37, 45, E1, N10, N11, N12, N13, N14, N15, N17, N25, N9
1402;6_616;20190912;616;Pº HABANA-BALBINA VALVERDE;2132;79;28036;5;A;441690;4478024;14
1403;6_617;20190912;617;Pº HABANA-PZA.SAGRADOS CORAZONES;2133;79;28036;5;A;441912;4478273;14
1404;6_621;20190912;621;Pº HABANA-HONDURAS;2140;79;28036;5;A;442359;4479214;14
1405;6_625;20190912;625;PZA.DUQUE DE PASTRANA;2148;79;28036;5;A;442675;4480147;14, 129
1406;6_626;20190912;626;AV.BURGOS-MARQUES DE TORROJA;2150;79;28036;5;A;442796;4480376;14, 129
1407;6_630;20190912;630;Pº HABANA-MENENDEZ PIDAL;2147;79;28036;5;A;442527;4479985;14
